Name;Lvl;Att;Def;D-;D+;HP;Spd;Grw;Val;Cost;Special
Power Lich ;5+;13;10;11;15;40;7;3;1079;600;Ranged (24 shots), Undead, Death cloud
Black Knight ;6;16;16;15;30;120;7;2;2084;1200;Undead, Curse
Dread Knight ;6+;18;18;15;30;120;9;2;2382;1500;Undead, Curse, Death blow
Bone Dragon ;7;17;15;25;50;150;9;1;3388;1800;Dragon, Undead, Flying, Morale -1
Ghost Dragon ;7+;19;17;25;50;200;14;1;4696;3000;Dragon, Undead, Flying, Morale -1, Aging
Troglodyte ;1;4;3;1;3;5;4;14;59;50;Immune to Blinding
Infernal Troglodyte;1+;5;4;1;3;6;5;14;84;65;Immune to Blinding
Harpy ;2;6;5;1;4;14;6;8;154;130;Flying, Strike and return
Harpy Hag ;2+;6;6;1;4;14;9;8;238;170;Flying, Strike and return, No enemy retaliation
Beholder ;3;9;7;3;5;22;5;7;336;250;Ranged (12 shots), No melee penalty
Evil Eye ;3+;10;8;3;5;22;7;7;367;280;Ranged (24 shots), No melee penalty
Medusa ;4;9;9;6;8;25;5;4;517;300;Ranged (4 shots), No melee penalty, Petrify
Medusa Queen ;4+;10;10;6;8;30;6;4;577;330;Ranged (8 shots), No melee penalty, Petrify
Minotaur ;5;14;12;12;20;50;6;3;835;500;Positive morale
Minotaur King ;5+;15;15;12;20;50;8;3;1068;575;Positive morale
Manticore ;6;15;13;14;20;80;7;2;1547;850;Flying
Scorpicore ;6+;16;14;14;20;80;11;2;1589;1050;Flying, Paralyze
Red Dragon ;7;19;19;40;50;180;11;1;4702;2500;Dragon, Flying, Breath attack, Resist lvl 1-3 spells
Black Dragon ;7+;25;25;40;50;300;15;1;8721;4000;Dragon, Flying, Breath attack, Resist all spells, Hates Titans
Goblin ;1;4;2;1;2;5;5;15;60;40;
Hobgoblin ;1+;5;3;1;2;5;7;15;78;50;
Wolf Rider ;2;7;5;2;4;10;6;9;130;100;
Wolf Raider ;2+;8;5;3;4;10;8;9;203;140;Double attack
Orc ;3;8;4;2;5;15;4;7;192;150;Ranged (12 shots)
Orc Chieftain ;3+;8;4;2;5;20;5;7;240;165;Ranged (24 shots)
Ogre ;4;13;7;6;12;40;4;4;416;300;
Ogre Mage ;4+;13;7;6;12;60;5;4;672;400;Cast Bloodlust x3
Roc ;5;13;11;11;15;60;7;3;1027;600;Flying
Thunderbird ;5+;13;11;11;15;60;11;3;1106;700;Flying, Lightning strike
Cyclops ;6;15;12;16;20;70;6;2;1266;750;Ranged (16 shots), Can attack siege walls
Cyclops King ;6+;17;13;16;20;70;8;2;1443;1100;Ranged (24 shots), Can attack siege walls
Behemoth ;7;17;17;30;50;160;6;1;3162;1500;Defense -40% to enemy target
Ancient Behemoth ;7+;19;19;30;50;300;9;1;6168;3000;Defense -80% to enemy target
Gnoll ;1;3;5;2;3;6;4;12;56;50;
Gnoll Marauder ;1+;4;6;2;3;6;5;12;90;70;
Lizardman ;2;5;6;2;3;14;4;9;126;110;Ranged (12 shots)
Lizard Warrior ;2+;6;8;2;5;15;5;9;156;140;Ranged (24 shots)
Serpent Fly ;3;7;9;2;5;20;9;8;268;220;Flying, Dispel
Dragon Fly ;3+;8;10;2;5;20;13;8;312;240;Flying, Dispel, Weakness
Basilisk ;4;11;11;6;10;35;5;4;552;325;Petrify
Greater Basilisk ;4+;12;12;6;10;40;7;4;714;400;Petrify
Gorgon ;5;10;14;12;16;70;5;3;890;525;
Mighty Gorgon ;5+;11;16;12;16;70;6;3;1028;600;Death stare 10% chance/unit
Wyvern ;6;14;14;14;18;70;7;2;1350;800;Flying
Wyvern Monarch ;6+;14;14;18;22;70;11;2;1518;1100;Flying, Poison
Hydra ;7;16;18;25;45;175;5;1;4120;2200;No enemy retaliation, Attack all adjacent enemies
Chaos Hydra ;7+;18;20;25;45;250;7;1;5931;3500;No enemy retaliation, Attack all adjacent enemies
Pixie ;1;2;2;1;2;3;7;20;55;25;Flying
Sprite ;1+;2;2;1;3;3;9;20;95;30;Flying, No enemy retaliation
Air Elemental ;2;9;9;2;8;25;7;6;356;250;Elemental, Lightning vulnerability, Immune to Meteor Shower
Storm Elemental ;2+;9;9;2;8;25;8;6;486;275;Ranged (24 shots), Elemental, Lightning vulnerability, Immune to Meteor Shower, Casts Protection from Air
Water Elemental ;3;8;10;3;7;30;5;6;315;300;Elemental, Vulnerable to Fireball, Inferno and Armageddon, Ice immunity
Ice Elemental ;3+;8;10;3;7;30;6;6;380;375;Ranged (24 shots), Elemental, Vulnerable to Fireball, Inferno and Armageddon, Ice immunity, Casts Protection from Water
Fire Elemental ;4;10;8;4;6;35;6;5;345;350;Elemental, Ice vulnerability, Fire immunity
Energy Elemental ;4+;12;8;4;6;35;8;5;470;400;Elemental, Flying, Ice vulnerability, Fire immunity, Casts Protection from Fire
Earth Elemental ;5;10;10;4;8;40;4;4;330;400;Elemental, Meteor Shower vulnerability, Lightning and Armageddon immunity
Magma Elemental ;5+;11;11;6;10;40;6;4;490;500;Elemental, Meteor Shower vulnerability, Lightning and Armageddon immunity, Casts Protection from Earth
Psychic Elemental ;6;15;13;10;20;75;7;2;1669;750;Elemental, No enemy retaliation, Attacks adjacent hexes
Magic Elemental ;6+;15;13;15;25;80;9;2;2012;800;Elemental, No enemy retaliation, Attacks adjacent hexes, Spell immunity
Firebird ;7;18;18;30;40;150;15;2;4547;1500;Flying, Breath attack, Fire immunity
Phoenix ;7+;21;18;30;40;200;21;2;6721;2000;Flying, Breath attack, Fire immunity, Rebirth
Peasant ;1;1;1;1;1;1;3;25;15;10;
Halfling ;1;4;2;1;3;4;5;15;75;40;Ranged (24 shots), Positive Luck
Boar ;2;6;5;2;3;15;6;8;145;150;
Rogue ;2;8;3;2;4;10;6;8;135;100;Spying
Mummy ;3;7;7;3;5;30;5;7;270;300;Undead, Curse
Nomad ;3;9;8;2;6;30;7;7;345;200;Sandwalker
Sharpshooter ;4;12;10;8;10;15;9;4;585;400;Ranged (32 shots), No range and obstacle penalty
Troll ;5;14;7;10;15;40;7;3;1024;500;Regeneration
Gold Golem ;5;11;12;8;10;50;5;3;600;500;Unliving, Spell Damage Resistance +85%
Diamond Golem ;6;13;12;10;14;60;5;2;775;750;Unliving, Spell Damage Resistance +95%
Enchanter ;6;17;12;14;14;30;9;2;1210;750;Ranged (32 shots), No melee and obstacle penalty, Spellcaster
Faerie Dragon ;7;20;20;20;30;500;15;1;19580;10000;Dragon, Flying, Spellcaster, Magic Mirror
Rust Dragon ;7;30;30;50;50;750;17;1;26433;15000;Dragon, Flying, Breath, Acid breath
Crystal Dragon ;7;40;40;60;75;800;16;1;39338;20000;Dragon, Crystal generation, Resistance +20%, Unliving
Azure Dragon ;7;50;50;70;80;1000;19;1;78845;30000;Dragon, Flying, Breath, Fear, Resist lvl 1???3 spells, Resist Fear
